=== probe armed: 14/14 hooks. Do your actions now; each firing logs here. ===
42.580  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB9EEA5B28 a2=UObject: 000001BB9EEA5C28 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
42.581  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB9EEA8F28 a2=UObject: 000001BB9EEA7528 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
42.581  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB9EEAA228 a2=UObject: 000001BB9EEAAB28 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
42.711  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB9ECCA918 a2=UObject: 000001BB9ECCA118 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
42.712  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BB9ECCD018 a2=UObject: 000001BB9ECC9318 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
54.113  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BC3F761558 a2=UScriptStruct: 000001BC3F73E758 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
54.295  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC3F761958 a2=UObject: 000001BC3F761A58 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
55.391  [BUILD.place]  /Script/Pal.PalBuildObject:OnFinishBuildWork_ServerInternal | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BC5EA37438 a2= a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
63.191  [TECH.unlock]  /Script/Pal.PalNetworkPlayerComponent:RequestUnlockTechnology_ToServer | self=PalNetworkPlayerComponent  a1=Special_PalSphere_Grade_01 a2= a3= | PalNetworkPlayerComponent /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.PalNetworkTransmitter_2147480713.Player
64.442  [TECH.unlock]  /Script/Pal.PalNetworkPlayerComponent:RequestUnlockTechnology_ToServer | self=PalNetworkPlayerComponent  a1=PalBox a2= a3= | PalNetworkPlayerComponent /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.PalNetworkTransmitter_2147480713.Player
67.139  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC5E6F92B8 a2=UObject: 000001BC5E6F90B8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
67.141  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BC5E6FA6B8 a2=UScriptStruct: 000001BCBBF7F608 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
67.352  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC5E6F88B8 a2=UObject: 000001BC5E6F7EB8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
